unix Timestamp,ACC X,Light
1.6809E+12,1.0773444,3
1.6809E+12,0.8642696,3
1.6809E+12,0.9815805,3
1.6809E+12,0.5530368,3
1.6809E+12,0.6009188,3
1.6809E+12,0.7325942,3
1.6809E+12,0.86666375,3
1.6809E+12,0.86666375,3
1.6809E+12,0.9552454,3
1.6809E+12,0.9743982,3
1.6809E+12,1.1060736,3
1.6809E+12,1.0581917,3
1.6809E+12,1.0581917,3
1.6809E+12,0.8499051,3
1.6809E+12,0.5697955,3
1.6809E+12,0.5697955,3
1.6809E+12,0.6655594,3
1.6809E+12,1.0103097,3
1.6809E+12,1.3790009,3
1.6809E+12,1.3790009,3
1.6809E+12,1.3047838,3
1.6809E+12,1.3047838,3
1.6809E+12,0.70386505,3
1.6809E+12,0.70386505,3
1.6809E+12,0.5937365,3
1.6809E+12,0.71822965,3
1.6809E+12,1.0007333,3
1.6809E+12,1.259296,3
1.6809E+12,1.259296,3
1.6809E+12,1.163532,3
1.6809E+12,1.163532,3
1.6809E+12,0.61528337,3
1.6809E+12,0.61528337,3
1.6809E+12,0.61528337,3
1.6809E+12,0.48121384,3
1.6809E+12,0.5290958,3
1.6809E+12,0.49557844,3
1.6809E+12,0.42375547,3
1.6809E+12,0.29447415,3
1.6809E+12,0.29447415,3
1.6809E+12,0.24419808,3
1.6809E+12,0.66077125,3
1.6809E+12,1.0055215,3
1.6809E+12,0.7613234,3
1.6809E+12,0.27053314,3
1.6809E+12,0.27053314,3
1.6809E+12,-0.15082821,3
1.6809E+12,-0.31123284,3
1.6809E+12,-0.10773444,3
1.6809E+12,0.38544992,3
1.6809E+12,0.8427228,3
1.6809E+12,1.1539556,3
1.6809E+12,1.1539556,3
1.6809E+12,0.69907683,3
1.6809E+12,0.69907683,3
1.6809E+12,0.14364593,3
1.6809E+12,0.14364593,3
1.6809E+12,0.37108532,3
1.6809E+12,0.83793455,3
1.6809E+12,1.3287247,3
1.6809E+12,1.649534,3
1.6809E+12,1.5872875,3
1.6809E+12,1.2760546,3
1.6809E+12,0.72541195,3
1.6809E+12,0.72541195,3
1.6809E+12,1.0127038,3
1.6809E+12,1.0127038,3
1.6809E+12,1.4029418,3
1.6809E+12,1.6591104,3
1.6809E+12,1.6303812,3
1.6809E+12,1.3885772,3
1.6809E+12,1.0845268,3
1.6809E+12,0.83793455,3
1.6809E+12,0.83793455,3
1.6809E+12,0.775688,3
1.6809E+12,1.1108619,3
1.6809E+12,1.3143603,3
1.6809E+12,1.3790009,3
1.6809E+12,1.2162021,3
1.6809E+12,0.921728,3
1.6809E+12,0.5745837,3
1.6809E+12,0.34953842,3
1.6809E+12,0.33038563,3
1.6809E+12,0.45248467,3
1.6809E+12,0.6104952,3
1.6809E+12,0.68950045,3
1.6809E+12,0.63922435,3
1.6809E+12,0.45009056,3
1.6809E+12,0.23462167,3
1.6809E+12,0.23462167,3
1.6809E+12,0.11491674,3
1.6809E+12,0.067034766,3
1.6809E+12,0.14125183,3
1.6809E+12,0.23462167,3
1.6809E+12,0.23462167,3
1.6809E+12,0.29926234,3
1.6809E+12,0.29926234,3
1.6809E+12,0.2011043,3
1.6809E+12,0.07900526,3
1.6809E+12,0.07900526,3
1.6809E+12,0.038305577,3
1.6809E+12,0.09097575,3
1.6809E+12,0.14604004,3
1.6809E+12,0.21307479,3
1.6809E+12,0.22504528,3
1.6809E+12,0.22504528,3
1.6809E+12,0.1891338,3
1.6809E+12,0.12688723,3
1.6809E+12,0.11491674,3
1.6809E+12,0.16998102,3
1.6809E+12,0.16998102,3
1.6809E+12,0.29447415,3
1.6809E+12,0.41896728,3
1.6809E+12,0.46684924,3
1.6809E+12,0.43572596,3
1.6809E+12,0.43572596,3
1.6809E+12,0.34953842,3
1.6809E+12,0.27532133,3
1.6809E+12,0.23222758,3
1.6809E+12,0.23222758,3
1.6809E+12,0.27532133,3
1.6809E+12,0.47403157,3
1.6809E+12,0.5147312,3
1.6809E+12,0.5147312,3
1.6809E+12,0.47403157,3
1.6809E+12,0.47403157,3
1.6809E+12,0.3734794,3
1.6809E+12,0.32559744,3
1.6809E+12,0.32799155,3
1.6809E+12,0.3662971,3
1.6809E+12,0.46445516,3
1.6809E+12,0.5314899,3
1.6809E+12,0.5314899,3
1.6809E+12,0.5362781,3
1.6809E+12,0.49797252,3
1.6809E+12,0.45248467,3
1.6809E+12,0.42614958,3
1.6809E+12,0.4285437,3
1.6809E+12,0.49797252,3
1.6809E+12,0.5745837,3
1.6809E+12,0.5745837,3
1.6809E+12,0.6272539,3
1.6809E+12,0.67513585,3
1.6809E+12,0.6368303,3
1.6809E+12,0.48839617,3
1.6809E+12,0.48839617,3
1.6809E+12,0.4429083,3
1.6809E+12,0.43572596,3
1.6809E+12,0.49079025,3
1.6809E+12,0.5626132,3
1.6809E+12,0.60331285,3
1.6809E+12,0.60331285,3
1.6809E+12,0.5937365,3
1.6809E+12,0.5650073,3
1.6809E+12,0.5362781,3
1.6809E+12,0.5290958,3
1.6809E+12,0.5290958,3
1.6809E+12,0.61288923,3
1.6809E+12,0.6511949,3
1.6809E+12,0.6511949,3
1.6809E+12,0.68950045,3
1.6809E+12,0.7014709,3
1.6809E+12,0.6631654,3
1.6809E+12,0.68231815,3
1.6809E+12,0.68231815,3
1.6809E+12,0.82357,3
1.6809E+12,1.1778966,3
1.6809E+12,1.8051505,3
1.6809E+12,2.1235654,3
1.6809E+12,2.2624233,3
1.6809E+12,2.2624233,3
1.6809E+12,1.9990726,3
1.6809E+12,1.2784487,3
1.6809E+12,0.71344143,3
1.6809E+12,0.71344143,3
1.6809E+12,0.71344143,3
1.6809E+12,0.28729185,3
1.6809E+12,1.3454835,3
1.6809E+12,2.2360883,3
1.6809E+12,2.2360883,3
1.6809E+12,2.863342,3
1.6809E+12,2.8226426,3
1.6809E+12,2.2839704,3
1.6809E+12,1.5082823,3
1.6809E+12,0.9384867,3
1.6809E+12,0.9384867,3
1.6809E+12,1.3143603,3
1.6809E+12,1.3143603,3
1.6809E+12,1.8386679,3
1.6809E+12,2.0421662,3
1.6809E+12,1.6878396,3
1.6809E+12,1.6878396,3
1.6809E+12,0.799629,3
1.6809E+12,-0.24659218,3
1.6809E+12,-1.065374,3
1.6809E+12,-1.065374,3
1.6809E+12,-1.3383013,3
1.6809E+12,-0.9983392,3
1.6809E+12,-0.26813906,3
1.6809E+12,0.4022086,3
1.6809E+12,0.68950045,3
1.6809E+12,0.10294625,3
1.6809E+12,0.10294625,3
1.6809E+12,-0.33517382,3
1.6809E+12,-0.5386722,3
1.6809E+12,-0.43812007,3
1.6809E+12,-0.12688723,3
1.6809E+12,-0.12688723,3
1.6809E+12,0.22983348,3
1.6809E+12,0.49557844,3
1.6809E+12,0.6464067,3
1.6809E+12,0.71822965,3
1.6809E+12,0.81878173,3
1.6809E+12,0.9983392,3
1.6809E+12,1.2018377,3
